satisfaction_level,last_evaluation,number_project,sales,salary
0.64,0.58,5,support,low
1,0.66,4,technical,low
0.83,0.65,4,technical,low
0.98,0.58,4,technical,low
0.7,0.87,3,management,low
0.9,0.79,4,IT,low
0.55,0.99,4,IT,low
0.78,0.84,3,IT,low
0.89,0.53,5,IT,low
0.17,0.59,3,IT,low
0.14,0.64,5,product_mng,low
0.85,0.57,4,product_mng,low
0.84,0.79,4,product_mng,low
0.7,0.69,3,product_mng,medium
0.16,0.98,5,IT,medium
0.51,0.69,3,RandD,medium
0.6,0.89,3,RandD,medium
0.5,0.63,3,RandD,medium
0.43,0.39,5,RandD,medium
0.5,0.7,4,RandD,medium
0.91,0.89,4,marketing,medium
0.65,0.93,4,sales,medium
0.59,0.52,2,accounting,medium
0.89,0.56,3,support,medium
0.97,0.6,3,technical,medium
0.56,0.97,5,management,high
0.76,0.93,3,marketing,low
0.28,0.55,4,marketing,medium
0.75,0.51,4,marketing,medium
0.78,0.81,4,sales,medium
0.26,0.63,6,sales,medium
0.53,0.72,2,sales,low
0.25,0.41,3,sales,low
0.82,0.51,3,sales,low
0.71,0.57,2,sales,low
0.61,0.95,4,sales,low
0.89,0.68,3,sales,low
0.57,0.78,3,sales,low
0.93,0.8,4,sales,low
0.61,0.84,5,sales,low
0.56,0.62,3,sales,low
0.7,0.89,6,sales,low
0.9,0.64,4,sales,low
0.15,0.74,6,sales,low
0.39,0.36,3,sales,low
0.74,0.72,4,sales,low
0.7,0.61,4,sales,low
0.72,0.93,4,sales,low
0.61,0.97,3,accounting,low
0.96,1,5,accounting,low
0.7,0.59,4,accounting,low
0.92,0.49,3,hr,low
0.72,0.56,4,hr,medium
0.53,0.75,6,hr,medium
0.67,0.85,3,hr,medium
0.78,0.8,4,technical,medium
0.53,0.75,4,technical,medium
0.9,0.48,4,technical,medium
0.16,0.9,5,technical,medium
0.62,0.38,3,technical,medium
0.62,0.98,4,technical,medium
0.22,0.52,6,technical,medium
0.91,0.82,3,technical,medium
0.87,0.74,4,technical,medium
0.95,0.69,3,technical,high
0.99,0.75,3,technical,low
0.99,0.57,3,support,medium
0.77,0.99,4,support,medium
0.75,0.68,3,support,medium
0.83,0.54,4,support,medium
0.61,0.39,3,support,low
0.91,0.97,3,support,low
0.47,0.64,3,support,low
0.77,0.61,5,support,low
0.55,0.51,3,support,low
0.32,0.48,5,support,low
0.96,0.67,6,support,low
0.72,0.79,5,technical,low
0.8,0.9,4,technical,low
0.61,0.55,4,technical,low
0.97,0.88,3,management,low
0.63,0.93,4,IT,low
0.92,0.92,3,IT,low
0.94,0.74,5,IT,low
0.79,0.72,6,IT,low
0.75,0.73,2,IT,low
0.78,0.99,3,product_mng,low
0.96,0.45,6,product_mng,low
0.65,0.68,4,product_mng,low
0.18,0.94,3,product_mng,low
0.94,0.51,3,IT,low
0.84,0.79,4,RandD,medium
0.67,0.54,2,RandD,medium
0.71,0.5,4,RandD,medium
0.56,0.64,3,RandD,medium
0.29,0.56,5,RandD,medium
0.47,0.9,3,marketing,medium
0.4,0.69,2,sales,medium
0.81,0.82,4,accounting,medium
0.96,0.99,3,support,medium
0.99,0.75,6,technical,medium
0.75,0.77,4,management,medium
0.75,0.74,4,marketing,medium
1,0.86,4,marketing,high
0.52,0.53,2,marketing,low
0.98,0.74,3,sales,medium
0.6,0.64,2,sales,medium
0.38,0.44,3,sales,medium
0.51,0.41,6,sales,medium
0.91,0.61,2,sales,low
0.56,0.62,5,sales,low
0.58,0.69,4,sales,low
0.51,0.53,3,sales,low
0.91,0.55,6,sales,low
0.8,0.98,2,sales,low
0.55,0.83,4,sales,low
0.62,0.53,3,sales,low
0.62,0.6,3,sales,low
0.87,0.58,4,sales,low
0.65,0.5,5,sales,low
0.51,0.64,3,sales,low
0.98,0.77,3,sales,low
0.13,0.43,4,sales,low
0.78,0.76,5,sales,low
0.6,0.98,3,accounting,low
0.68,0.69,3,accounting,low
0.55,0.84,3,accounting,low
0.99,0.79,4,hr,low
0.92,0.68,5,hr,low
1,0.65,4,hr,low
0.77,0.93,4,hr,medium
0.86,0.7,5,technical,medium
0.89,0.84,2,technical,medium
0.58,0.55,5,technical,medium
0.56,0.66,3,technical,medium
0.38,0.64,3,technical,medium
0.62,0.64,3,technical,medium
0.66,0.77,2,technical,medium
0.3,0.44,3,technical,medium
0.82,0.83,3,technical,medium
0.96,0.68,4,technical,medium
0.66,0.95,3,technical,medium
0.79,0.5,5,support,high
0.97,0.77,3,support,low
0.59,0.65,3,support,medium
0.57,0.48,4,support,medium
0.64,0.53,4,support,medium
0.14,0.51,5,support,medium
0.48,0.55,3,support,low
0.78,1,3,support,low
0.96,0.62,5,support,low
0.82,0.97,3,support,low
0.94,0.9,5,support,low
0.95,0.66,4,technical,low
0.59,0.43,3,technical,low
0.69,0.89,4,technical,low
0.74,0.72,3,management,low
0.67,0.67,4,IT,low
0.83,0.52,3,IT,low
0.81,0.85,3,IT,low
0.54,0.73,2,IT,low
0.89,0.83,3,IT,low
0.79,0.74,5,product_mng,low
0.46,0.58,4,product_mng,low
0.99,0.93,4,product_mng,low
0.75,0.9,5,product_mng,low
0.93,0.82,4,IT,low
0.65,0.6,5,RandD,low
0.19,0.63,4,RandD,low
0.48,0.61,2,RandD,medium
0.95,0.64,5,RandD,medium
0.92,0.77,4,RandD,medium
0.84,0.54,4,marketing,medium
0.37,0.63,4,sales,medium
0.22,0.74,3,accounting,medium
0.64,0.54,3,support,medium
0.72,0.88,2,technical,medium
0.48,0.69,4,management,medium
0.12,0.55,5,marketing,medium
0.78,0.98,5,marketing,medium
0.71,0.74,3,marketing,medium
0.38,0.69,3,sales,high
0.57,0.85,4,sales,low
0.72,0.51,3,sales,medium
0.6,0.57,2,sales,medium
0.61,0.55,5,sales,medium
0.67,0.64,4,sales,medium
0.97,0.97,5,sales,low
0.22,0.6,3,sales,low
0.15,0.53,4,sales,low
0.6,0.6,3,sales,low
0.15,0.8,5,sales,low
0.5,0.81,3,sales,low
0.9,0.67,3,sales,low
0.84,0.51,6,sales,low
0.74,0.78,5,sales,low
0.72,0.51,3,sales,low
0.93,0.63,3,sales,low
0.54,0.69,3,sales,low
0.87,0.65,4,sales,low
0.19,0.98,5,accounting,low
0.33,0.4,4,accounting,low
0.94,0.93,4,accounting,low
0.77,0.49,4,hr,low
0.48,0.82,3,hr,low
0.7,0.74,5,hr,low
0.54,0.93,4,hr,low
0.61,0.98,4,technical,low
0.97,0.4,4,technical,medium
0.6,0.85,3,technical,medium
0.93,0.84,5,technical,medium
0.48,0.69,4,technical,medium
0.16,0.76,5,technical,medium
0.18,0.75,3,technical,medium
0.84,0.75,3,technical,medium
0.69,0.63,4,technical,medium
0.22,0.88,4,technical,medium
0.83,0.52,4,technical,medium
0.58,0.5,2,support,medium
0.61,0.62,4,support,medium
0.67,0.5,4,support,high
0.56,0.76,4,support,low
0.74,0.74,3,support,medium
0.92,0.97,4,support,medium
0.81,0.68,5,support,medium
0.48,0.49,4,support,medium
0.73,0.72,4,support,low
0.97,0.66,6,support,low
0.15,0.51,6,support,low
0.69,0.76,5,technical,low
0.61,0.68,5,technical,low
0.86,0.58,3,technical,low
0.55,0.88,4,management,low
0.9,0.74,4,IT,low
0.65,0.4,2,IT,low
0.81,0.92,5,IT,low
0.65,0.86,5,IT,low
0.47,0.86,4,IT,low
0.93,0.53,3,product_mng,low
0.77,0.9,4,product_mng,low
0.87,0.82,6,product_mng,low
0.87,0.84,5,product_mng,low
0.65,0.75,2,IT,low
0.21,0.7,6,RandD,low
0.75,0.59,4,RandD,low
0.72,0.86,4,RandD,low
0.88,0.63,3,RandD,low
0.66,0.58,3,RandD,medium
0.8,0.75,3,marketing,medium
0.22,0.55,4,sales,medium
0.92,0.69,3,accounting,medium
0.54,0.77,4,support,medium
0.91,0.56,4,technical,medium
0.77,0.83,4,management,medium
0.61,0.51,3,marketing,medium
0.48,0.9,4,marketing,medium
0.25,0.69,3,marketing,medium
0.91,0.7,3,sales,medium
0.72,0.58,5,sales,medium
0.77,0.71,4,sales,high
0.41,0.4,2,sales,low
0.51,0.49,4,sales,medium
0.72,0.79,3,sales,medium
0.47,0.57,3,sales,medium
0.53,0.67,4,sales,medium
0.65,0.52,5,sales,low
0.18,0.75,4,sales,low
0.61,0.48,3,sales,low
0.86,0.72,4,sales,low
0.14,0.77,4,sales,low
0.63,0.8,3,sales,low
0.79,0.57,3,sales,low
0.78,0.97,4,sales,low
0.14,0.52,4,sales,low
0.85,0.54,3,sales,low
0.85,0.75,4,sales,low
0.91,0.76,5,accounting,low
0.76,0.74,3,accounting,low
0.62,0.72,5,accounting,low
0.53,0.69,4,hr,low
0.97,0.63,3,hr,low
0.48,0.53,4,hr,low
0.5,0.55,4,hr,low
0.32,0.42,2,technical,low
0.58,0.77,4,technical,low
0.81,0.83,3,technical,low
0.48,0.84,4,technical,medium
0.96,0.88,4,technical,medium
0.56,0.9,3,technical,medium
0.63,0.96,4,technical,medium
0.21,0.5,5,technical,medium
0.94,0.78,3,technical,medium
0.94,0.89,4,technical,medium
0.96,0.54,3,technical,medium
0.49,0.5,4,support,medium
0.82,0.68,2,support,medium
0.6,0.5,3,support,medium
0.76,0.5,3,support,medium
0.69,0.64,5,support,high
1,0.94,4,support,low
0.62,0.66,4,support,medium
0.4,0.99,4,support,medium
0.94,0.91,3,support,medium
0.76,0.84,4,support,medium
0.58,0.69,3,support,low
0.85,0.78,4,technical,low
0.45,0.52,2,technical,low
0.13,0.67,3,technical,low
0.24,0.5,5,management,low
0.64,0.69,3,IT,low
0.63,0.61,6,IT,low
0.61,0.99,4,IT,low
0.71,0.99,2,IT,low
0.9,0.89,5,IT,low
0.17,0.76,4,product_mng,low
0.93,0.97,3,product_mng,low
0.83,0.89,5,product_mng,low
0.58,0.75,4,product_mng,low
0.76,0.5,3,IT,low
0.5,0.78,3,RandD,low
0.22,0.81,5,RandD,low
0.9,0.88,4,RandD,low
0.7,0.63,3,RandD,low
0.73,0.85,5,RandD,low
0.84,0.87,3,marketing,low
0.55,0.63,5,marketing,medium
0.63,0.98,4,sales,medium
0.51,0.92,3,accounting,medium
0.81,0.76,4,support,medium
0.8,0.96,4,technical,medium
0.99,0.97,4,management,medium
0.9,0.87,5,marketing,medium
0.65,0.67,5,marketing,medium
0.75,0.75,3,marketing,medium
0.62,0.49,4,sales,medium
0.61,0.63,5,sales,medium
0.24,0.6,4,sales,medium
0.71,0.63,3,sales,high
0.49,0.8,2,sales,low
0.44,0.66,3,sales,medium
0.75,0.87,4,sales,medium
0.74,0.84,3,sales,medium
0.62,0.87,5,sales,medium
0.51,0.58,3,sales,low
0.61,0.59,5,sales,low
0.56,0.49,5,sales,low
0.79,0.76,3,sales,low
0.68,0.75,6,sales,low
0.9,0.84,2,sales,low
0.83,0.93,5,sales,low
0.94,0.82,3,sales,low
0.21,0.65,5,sales,low
0.58,0.87,3,sales,low
0.52,0.38,6,accounting,low
0.18,0.67,5,accounting,low
0.94,0.91,5,accounting,low
0.69,0.5,3,hr,low
0.65,0.83,4,hr,low
0.46,0.62,2,hr,low
0.72,0.62,4,hr,low
0.3,0.37,6,technical,low
0.51,0.51,4,technical,low
0.43,0.75,3,technical,low
0.56,0.94,3,technical,low
0.63,0.91,4,technical,medium
0.61,0.55,5,technical,medium
0.53,0.73,4,technical,medium
0.87,0.75,3,technical,medium
0.68,0.7,4,technical,medium
0.78,0.84,3,technical,medium
0.49,0.95,4,technical,medium
0.96,0.81,3,support,medium
0.83,0.74,3,support,medium
0.48,0.67,5,support,medium
0.63,0.86,4,support,medium
0.87,0.38,4,support,medium
0.21,0.9,4,support,high
0.79,0.58,5,support,low
0.8,0.96,3,support,medium
0.78,0.82,4,support,medium
0.67,0.65,5,support,medium
0.67,0.71,3,support,medium
0.26,0.67,2,technical,low
0.89,0.83,5,technical,low
0.7,0.53,4,technical,low
0.51,0.48,5,management,low
0.53,0.88,3,IT,low
0.76,0.51,4,IT,low
0.86,0.93,5,IT,low
0.63,0.96,5,IT,low
0.58,0.86,5,IT,low
0.58,0.83,4,product_mng,low
0.9,0.82,4,product_mng,low
0.79,0.57,4,product_mng,low
0.8,0.74,4,product_mng,low
0.53,0.65,2,IT,low
0.52,0.84,2,RandD,low
0.82,0.59,5,RandD,low
0.68,0.9,2,RandD,low
0.21,0.61,3,RandD,low
0.81,0.5,4,RandD,low
0.57,0.9,3,RandD,low
0.99,0.72,3,marketing,low
0.9,1,4,sales,medium
0.76,0.64,3,accounting,medium
0.56,0.92,4,support,medium
0.5,0.93,6,technical,medium
0.48,0.89,5,management,medium
0.99,0.97,3,marketing,medium
0.76,0.8,5,marketing,medium
0.93,0.97,4,marketing,medium
0.99,0.78,4,sales,medium
0.85,0.78,4,sales,medium
0.63,0.95,4,sales,medium
0.63,0.78,3,sales,medium
0.5,0.65,5,sales,high
0.52,0.57,3,sales,low
0.63,0.99,3,sales,medium
0.78,0.5,4,sales,medium
0.98,0.53,3,sales,medium
0.14,1,5,sales,medium
0.7,0.9,3,sales,low
0.88,0.6,4,sales,low
0.72,0.62,3,sales,low
0.88,0.51,4,sales,low
0.71,0.51,3,sales,low
0.6,0.85,3,sales,low
0.88,0.86,4,sales,low
0.55,0.72,5,sales,low
0.85,0.55,4,sales,low
0.84,0.51,2,accounting,low
0.91,0.61,4,accounting,low
0.82,0.62,4,accounting,low
0.6,0.91,2,hr,low
0.89,0.71,5,hr,low
0.6,0.97,4,hr,low
0.64,0.52,4,hr,low
0.93,0.88,4,technical,low
0.81,0.99,3,technical,low
0.31,0.49,4,technical,low
0.68,0.69,4,technical,low
0.78,0.59,3,technical,low
0.44,0.42,4,technical,medium
0.64,0.93,4,technical,medium
0.81,0.63,4,technical,medium
0.5,0.49,3,technical,medium
0.69,0.61,5,technical,medium
0.77,0.75,4,technical,medium
0.69,0.56,4,support,medium
0.87,0.68,4,support,medium
0.85,0.91,4,support,medium
0.83,0.83,4,support,medium
0.68,0.51,3,support,medium
0.78,0.65,4,support,medium
0.78,0.89,3,support,high
0.93,0.68,4,support,low
0.54,0.75,3,support,medium
0.76,0.56,3,support,medium
0.4,0.72,3,support,medium
0.73,0.81,3,technical,medium
0.86,0.98,5,technical,low
0.38,0.68,5,technical,low
0.71,0.48,5,management,low
0.58,0.97,5,IT,low
0.67,0.59,3,IT,low
0.55,0.76,4,IT,low
0.76,0.98,2,IT,low
0.7,0.82,3,IT,low
0.66,0.46,4,product_mng,low
0.96,0.72,3,product_mng,low
0.6,0.77,4,product_mng,low
0.54,0.94,5,product_mng,low
0.85,0.9,5,IT,low
0.96,0.84,3,RandD,low
0.86,0.62,3,RandD,low
0.53,0.87,3,RandD,low
0.91,0.95,3,RandD,low
0.33,0.7,5,RandD,low
0.75,0.73,4,RandD,low
0.97,0.8,3,marketing,low
0.68,0.51,4,sales,low
0.68,0.7,5,accounting,medium
0.57,0.87,4,support,medium
0.87,0.9,4,technical,medium
0.5,0.91,5,management,medium
0.76,0.59,3,marketing,medium
0.79,0.61,5,marketing,medium
0.17,0.9,6,marketing,medium
0.6,0.62,4,sales,medium
0.89,0.67,3,sales,medium
0.69,0.87,3,sales,medium
0.68,0.85,2,sales,medium
0.61,0.87,5,sales,medium
0.63,0.5,3,sales,high
0.5,0.96,4,sales,low
0.49,0.74,2,sales,medium
0.83,0.55,5,sales,medium
0.59,0.71,2,sales,medium
0.75,0.93,2,sales,medium
0.66,0.48,3,sales,low
0.68,0.51,4,sales,low
0.73,0.58,5,sales,low
0.98,0.53,4,sales,low
0.86,0.65,3,sales,low
0.5,0.55,3,sales,low
0.76,0.76,3,sales,low
0.3,0.47,4,sales,low
0.3,0.86,3,accounting,low
0.64,0.59,3,accounting,low
0.59,0.75,3,accounting,low
0.85,0.63,4,hr,low
0.76,0.93,3,hr,low
0.63,0.5,5,hr,low
0.65,0.86,4,hr,low
0.43,0.68,3,technical,low
0.83,0.56,4,technical,low
0.49,0.77,4,technical,low
0.67,0.73,3,technical,low
0.9,0.47,2,technical,low
0.83,0.96,3,technical,low
0.92,0.84,5,technical,medium
0.83,0.7,5,technical,medium
0.64,0.55,4,technical,medium
0.93,0.97,4,technical,medium
0.6,0.87,4,technical,medium
0.74,0.69,3,support,medium
0.56,0.75,5,support,medium
0.61,0.77,4,support,medium
0.63,0.62,4,support,medium
0.24,0.62,5,support,medium
0.17,0.56,5,support,medium
0.46,0.64,2,support,medium
0.68,0.48,4,support,high
0.68,0.6,2,support,low
0.16,0.71,6,support,medium
0.15,0.56,6,support,medium
0.55,0.49,3,technical,medium
0.72,0.66,4,technical,medium
0.91,0.89,2,technical,low
0.3,0.91,4,management,low
0.56,0.68,5,IT,low
0.94,0.94,3,IT,low
0.82,0.63,5,IT,low
0.66,0.86,5,IT,low
0.74,0.64,4,IT,low
0.63,0.5,3,product_mng,low
0.65,0.42,6,product_mng,low
0.56,0.81,3,product_mng,low
0.32,0.73,6,product_mng,low
0.8,0.9,4,IT,low
0.34,0.87,6,RandD,low
0.62,0.71,5,RandD,low
0.5,0.86,3,RandD,low
0.58,0.98,5,RandD,low
0.94,0.9,2,RandD,low
0.67,0.99,4,RandD,low
0.2,0.74,6,marketing,low
0.91,0.59,5,sales,low
0.91,0.67,2,accounting,low
0.78,0.87,3,support,medium
0.82,0.55,3,technical,medium
0.54,0.96,3,management,medium
0.53,0.81,3,marketing,medium
0.47,0.55,4,marketing,medium
0.87,0.5,3,marketing,medium
0.5,0.68,4,sales,medium
0.59,0.83,3,sales,medium
0.89,0.69,3,sales,medium
0.54,0.49,4,sales,medium
0.62,0.85,3,sales,medium
0.91,0.85,3,sales,medium
0.84,0.99,2,sales,high
0.69,0.65,4,sales,low
0.76,0.63,3,sales,medium
0.8,0.54,4,sales,medium
0.4,0.47,5,sales,medium
0.8,0.99,3,sales,medium
0.76,0.4,2,sales,low
0.55,0.9,4,sales,low
0.98,0.63,3,sales,low
0.54,0.56,4,sales,low
0.63,0.56,4,sales,low
0.88,0.63,3,sales,low
0.5,0.95,5,sales,low
0.52,0.72,3,accounting,low
0.89,0.95,4,accounting,low
0.55,0.9,4,accounting,low
0.51,0.81,3,hr,low
0.35,0.52,5,hr,low
0.54,0.71,5,hr,low
0.72,0.84,4,hr,low
0.61,0.93,2,technical,low
0.17,0.93,3,technical,low
0.71,0.88,3,technical,low
0.88,0.52,4,technical,low
0.48,1,3,technical,low
0.16,0.97,6,technical,low
0.62,0.72,3,technical,low
0.59,0.47,3,technical,medium
0.14,0.9,4,technical,medium
0.96,0.92,4,technical,medium
0.96,0.42,6,technical,medium
0.13,0.89,4,support,medium
0.64,0.61,5,support,medium
0.64,0.67,5,support,medium
0.57,0.72,3,support,medium
0.49,1,3,support,medium
0.89,0.79,4,support,medium
0.94,0.75,5,support,medium
0.51,0.58,2,support,medium
0.8,0.85,5,support,high
0.74,0.51,4,support,low
0.66,0.85,4,support,medium
0.66,0.99,5,technical,medium
0.59,0.62,3,technical,medium
0.91,0.57,3,technical,medium
0.83,0.98,5,management,low
0.5,0.91,3,IT,low
0.69,0.97,4,IT,low
0.87,0.91,5,IT,low
0.37,0.43,2,IT,low
0.9,0.98,4,IT,low
0.68,0.41,4,product_mng,low
0.93,0.63,4,product_mng,low
0.95,0.45,3,product_mng,low
0.99,1,4,product_mng,low
0.64,0.9,2,IT,low
0.96,0.37,2,RandD,low
0.92,0.54,5,RandD,low
0.22,0.52,5,RandD,low
0.82,0.99,5,RandD,low
0.75,0.89,3,RandD,low
0.2,0.89,6,RandD,low
0.64,0.73,3,marketing,low
0.62,0.9,4,sales,low
0.73,0.59,3,accounting,low
0.52,0.51,3,support,low
0.63,0.67,5,technical,medium
0.84,0.92,4,management,medium
0.49,0.96,3,marketing,medium
0.54,0.78,4,marketing,medium
0.52,0.78,4,marketing,medium
0.66,0.63,6,sales,medium
0.73,0.41,2,sales,medium
0.54,0.64,3,sales,medium
0.72,0.68,5,sales,medium
0.75,0.64,4,sales,medium
0.77,0.57,3,sales,medium
0.42,0.94,5,sales,medium
0.13,0.69,4,sales,high
0.73,0.88,5,sales,low
0.5,0.95,5,sales,medium
0.92,0.62,4,sales,medium
0.73,0.66,3,sales,medium
0.74,0.38,2,sales,medium
0.76,0.78,3,sales,low
0.53,0.92,3,sales,low
0.65,0.72,3,sales,low
0.91,0.85,4,sales,low
0.69,0.76,5,sales,low
0.56,0.66,3,sales,low
0.55,0.81,4,accounting,low
0.74,0.5,5,accounting,low
0.86,0.86,3,accounting,low
0.82,0.74,3,hr,low
0.35,0.8,3,hr,low
0.93,0.99,4,hr,low
0.55,0.77,3,hr,low
0.99,0.68,4,technical,low
0.91,0.89,4,technical,low
0.24,0.65,6,technical,low
0.77,0.67,3,technical,low
0.64,0.66,3,technical,low
0.58,0.76,5,technical,low
0.65,0.99,4,technical,low
0.44,0.68,3,technical,low
0.59,0.75,2,technical,medium
0.99,0.56,3,technical,medium
0.75,0.79,4,technical,medium
0.77,0.49,4,support,medium
0.85,0.64,4,support,medium
0.77,0.93,5,support,medium
0.54,0.95,3,support,medium
0.69,0.82,4,support,medium
0.66,0.65,5,support,medium
0.51,0.65,4,support,medium
0.74,0.59,4,support,medium
0.55,0.72,3,support,medium
0.65,0.84,3,support,high
0.2,0.77,6,support,low
0.92,0.94,5,technical,medium
0.57,0.6,3,technical,medium
0.75,0.78,2,technical,medium
0.68,0.84,3,management,medium
0.97,0.7,3,IT,low
0.79,0.48,4,IT,low
0.66,0.75,4,IT,low
0.96,0.69,3,IT,low
0.73,0.69,4,IT,low
0.29,0.58,5,product_mng,low
0.58,0.56,3,product_mng,low
0.72,0.58,4,product_mng,low
0.94,0.87,4,product_mng,low
0.48,0.56,5,IT,low
0.6,0.99,3,RandD,low
0.97,0.58,5,RandD,low
0.74,0.41,4,RandD,low
0.97,0.61,3,RandD,low
0.88,0.67,5,RandD,low
0.5,0.7,3,marketing,low
0.93,0.98,4,sales,low
0.3,0.7,5,accounting,low
0.69,0.53,3,support,low
0.69,0.9,2,technical,low
0.53,0.67,4,management,low
0.32,0.8,3,marketing,medium
0.73,0.75,3,marketing,medium
0.77,0.61,4,marketing,medium
0.59,0.81,6,sales,medium
0.19,0.51,5,sales,medium
0.78,0.95,3,sales,medium
0.84,0.74,3,sales,medium
0.65,0.77,5,sales,medium
0.38,0.43,2,sales,medium
0.12,0.47,3,sales,medium
0.74,0.81,5,sales,medium
0.67,0.82,4,sales,medium
0.5,0.79,3,sales,high
0.99,0.39,6,sales,low
0.79,0.89,4,sales,medium
0.72,0.51,4,sales,medium
0.83,0.57,4,sales,medium
0.69,0.55,5,sales,medium
0.5,0.89,5,sales,low
0.82,0.84,3,sales,low
0.68,0.56,4,sales,low
0.82,0.69,4,sales,low
0.32,0.81,2,accounting,low
0.93,0.86,4,accounting,low
0.42,0.73,4,accounting,low
0.22,0.44,3,hr,low
0.56,0.88,3,hr,low
0.77,0.75,4,hr,low
0.29,0.48,2,hr,low
0.97,0.65,3,technical,low
0.91,0.7,4,technical,low
0.52,0.67,4,technical,low
0.54,0.64,2,technical,low
0.54,0.98,3,technical,low
0.67,0.52,2,technical,low
0.72,0.85,3,technical,low
0.68,0.51,4,technical,low
0.65,0.98,3,technical,low
0.72,0.98,5,technical,low
0.51,0.79,5,technical,medium
0.8,0.58,4,support,medium
0.83,0.93,4,support,medium
0.15,0.86,3,support,medium
0.5,0.73,4,support,medium
0.8,0.55,2,support,medium
0.96,0.62,4,support,medium
0.67,0.7,5,support,medium
0.98,0.96,5,support,medium
0.88,0.59,5,support,medium
0.85,0.79,3,support,medium
0.75,0.7,5,support,medium
0.38,0.77,2,technical,high
0.55,0.82,2,technical,low
0.63,0.89,4,technical,medium
0.78,0.51,4,management,medium
0.99,0.84,5,IT,medium
0.72,0.87,3,IT,medium
0.14,0.83,5,IT,low
0.81,0.67,4,IT,low
0.73,0.86,4,IT,low
0.58,0.8,5,product_mng,low
0.24,0.85,4,product_mng,low
0.31,0.86,3,product_mng,low
0.74,0.63,3,product_mng,low
0.86,0.69,5,IT,low
0.22,0.8,4,RandD,low
0.66,0.7,4,RandD,low
0.21,0.76,5,RandD,low
0.95,0.61,3,RandD,low
0.24,0.55,5,RandD,low
0.66,0.95,3,marketing,low
0.88,0.86,3,marketing,low
0.67,0.61,4,sales,low
0.75,0.58,4,accounting,low
0.93,0.48,3,support,low
0.64,0.71,3,technical,low
0.51,0.53,3,management,low
0.98,0.5,4,marketing,low
0.72,0.63,4,marketing,medium
0.51,0.75,4,marketing,medium
0.54,0.58,4,sales,medium
0.99,0.76,4,sales,medium
0.44,0.9,4,sales,medium
0.74,0.48,5,sales,medium
0.9,0.77,3,sales,medium
0.86,0.58,4,sales,medium
0.66,0.52,3,sales,medium
0.64,0.96,4,sales,medium
0.5,0.59,4,sales,medium
0.88,0.68,4,sales,medium
0.72,0.47,5,sales,high
0.53,0.53,4,sales,low
0.83,0.77,3,sales,medium
0.24,0.52,4,sales,medium
0.66,0.75,5,sales,medium
0.43,0.63,3,sales,medium
0.75,0.66,5,sales,low
0.42,0.89,6,sales,low
0.54,0.74,3,sales,low
0.84,0.85,3,accounting,low
0.95,0.79,4,accounting,low
0.6,0.61,4,accounting,low
0.95,0.71,3,hr,low
0.62,0.89,3,hr,low
0.89,0.73,3,hr,low
0.73,0.93,5,hr,low
0.86,0.94,3,technical,low
0.76,0.73,3,technical,low
0.91,0.76,3,technical,low
1,0.81,5,technical,low
0.98,0.78,4,technical,low
0.65,0.89,3,technical,low
0.62,0.79,4,technical,low
0.83,0.82,5,technical,low
0.75,1,4,technical,low
0.82,0.63,4,technical,low
0.69,0.68,4,technical,low
0.41,0.96,6,support,medium
0.52,0.64,5,support,medium
0.74,0.86,3,support,medium
0.33,0.96,5,support,medium
0.8,0.69,3,support,medium
0.82,0.89,4,support,medium
0.59,0.65,5,support,medium
0.98,0.8,4,support,medium
0.93,0.94,4,support,medium
0.49,0.95,4,support,medium
0.6,0.94,4,support,medium
0.34,0.82,6,technical,medium
0.71,0.77,3,technical,high
0.6,0.64,5,technical,low
0.12,0.78,6,management,medium
0.16,0.87,3,IT,medium
0.57,0.61,3,IT,medium
0.72,0.8,5,IT,medium
0.91,0.55,4,IT,low
0.95,0.49,4,IT,low
0.71,0.9,3,product_mng,low
0.9,0.69,4,product_mng,low
0.66,0.81,4,product_mng,low
0.48,0.59,5,product_mng,low
0.82,0.82,5,IT,low
0.83,0.79,4,RandD,low
0.85,0.82,6,RandD,low
0.84,0.47,3,RandD,low
0.99,0.51,4,RandD,low
0.54,0.72,3,RandD,low
0.64,0.42,5,marketing,low
0.67,0.68,3,sales,low
0.48,0.54,2,accounting,low
0.58,0.77,4,support,low
0.54,0.59,3,technical,low
0.25,0.65,3,management,low
0.9,0.53,3,marketing,low
0.48,0.39,4,marketing,low
0.76,0.9,5,marketing,low
0.72,0.53,5,sales,medium
0.95,0.66,4,sales,medium
0.73,0.55,4,sales,medium
0.93,0.7,3,sales,medium
0.89,0.61,3,sales,medium
0.7,0.97,4,sales,medium
0.98,0.57,3,sales,medium
0.72,0.65,5,sales,medium
0.49,0.69,2,sales,medium
0.15,0.85,3,sales,medium
0.57,0.96,4,sales,medium
0.21,0.81,4,sales,medium
0.46,0.57,4,sales,high
0.56,0.52,3,sales,low
0.81,0.66,3,sales,medium
0.93,0.59,5,sales,medium
0.82,0.97,3,sales,medium
0.76,0.51,4,sales,medium
0.97,0.81,3,sales,low
0.38,0.81,5,accounting,low
0.46,0.49,3,accounting,low
0.34,0.57,4,accounting,low
0.63,0.76,4,hr,low
0.57,0.56,4,hr,low
0.17,0.76,4,hr,low
0.74,0.67,3,hr,low
0.59,0.56,4,technical,low
0.49,0.61,5,technical,low
0.49,0.58,3,technical,low
0.61,0.71,4,technical,low
0.81,0.79,5,technical,low
